Czas Odczytu,Wartość
2025-01-02 10:38:20,1.22 l/min
2025-01-02 10:38:20,1.22 l/min
2025-01-02 10:38:21,1.22 l/min
2025-01-02 10:38:21,1.22 l/min
2025-01-02 10:38:22,1.22 l/min
2025-01-02 10:38:23,1.22 l/min
2025-01-02 10:38:23,1.21 l/min
2025-01-02 10:38:24,1.21 l/min
2025-01-02 10:38:24,1.21 l/min
2025-01-02 10:38:25,1.21 l/min
2025-01-02 10:38:25,1.21 l/min
2025-01-02 10:38:26,1.21 l/min
2025-01-02 10:38:26,1.21 l/min
2025-01-02 10:38:26,1.21 l/min
2025-01-02 10:38:27,1.21 l/min
2025-01-02 10:38:27,1.22 l/min
2025-01-02 10:38:28,1.22 l/min
2025-01-02 10:38:28,1.22 l/min
2025-01-02 10:38:29,1.22 l/min
2025-01-02 10:38:29,1.22 l/min
2025-01-02 10:38:30,1.22 l/min
2025-01-02 10:38:30,1.21 l/min
2025-01-02 10:38:30,1.21 l/min
2025-01-02 10:38:31,1.21 l/min
2025-01-02 10:38:31,1.23 l/min
2025-01-02 10:38:32,1.21 l/min
2025-01-02 10:38:32,1.21 l/min
2025-01-02 10:38:33,1.21 l/min
2025-01-02 10:38:33,1.21 l/min
2025-01-02 10:38:34,1.21 l/min
2025-01-02 10:38:34,1.21 l/min
2025-01-02 10:38:35,1.21 l/min
2025-01-02 10:38:35,1.21 l/min
2025-01-02 10:38:35,1.21 l/min
2025-01-02 10:38:36,1.22 l/min
2025-01-02 10:38:36,1.21 l/min
2025-01-02 10:38:37,1.21 l/min
2025-01-02 10:38:37,1.21 l/min
2025-01-02 10:38:38,1.21 l/min
2025-01-02 10:38:38,1.22 l/min
2025-01-02 10:38:39,1.22 l/min
2025-01-02 10:38:39,1.22 l/min
2025-01-02 10:38:40,1.22 l/min
2025-01-02 10:38:40,1.22 l/min
2025-01-02 10:38:40,1.22 l/min
2025-01-02 10:38:41,1.22 l/min
2025-01-02 10:38:41,1.22 l/min
2025-01-02 10:38:42,1.22 l/min
2025-01-02 10:38:42,1.22 l/min
2025-01-02 10:38:43,1.22 l/min
2025-01-02 10:38:43,1.22 l/min
2025-01-02 10:38:44,1.21 l/min
2025-01-02 10:38:44,1.21 l/min
2025-01-02 10:38:45,1.21 l/min
2025-01-02 10:38:45,1.21 l/min
2025-01-02 10:38:45,1.22 l/min
2025-01-02 10:38:46,1.22 l/min
2025-01-02 10:38:46,1.22 l/min
2025-01-02 10:38:47,1.22 l/min
2025-01-02 10:38:47,1.22 l/min
2025-01-02 10:38:48,1.22 l/min
2025-01-02 10:38:48,1.22 l/min
2025-01-02 10:38:49,1.22 l/min
2025-01-02 10:38:49,1.21 l/min
2025-01-02 10:38:50,1.21 l/min
2025-01-02 10:38:50,1.21 l/min
2025-01-02 10:38:50,1.22 l/min
2025-01-02 10:38:51,1.22 l/min
2025-01-02 10:38:51,1.22 l/min
2025-01-02 10:38:52,1.22 l/min
2025-01-02 10:38:52,1.22 l/min
2025-01-02 10:38:53,1.21 l/min
2025-01-02 10:38:53,1.22 l/min
2025-01-02 10:38:54,1.22 l/min
2025-01-02 10:38:54,1.22 l/min
