Czas Odczytu,Wartość
2025-01-02 14:24:47,1.22 l/min
2025-01-02 14:24:48,1.22 l/min
2025-01-02 14:24:48,1.22 l/min
2025-01-02 14:24:49,1.22 l/min
2025-01-02 14:24:49,1.21 l/min
2025-01-02 14:24:49,1.22 l/min
2025-01-02 14:24:50,1.22 l/min
2025-01-02 14:24:50,1.22 l/min
2025-01-02 14:24:51,1.21 l/min
2025-01-02 14:24:51,1.21 l/min
2025-01-02 14:24:52,1.21 l/min
2025-01-02 14:24:52,1.21 l/min
2025-01-02 14:24:53,1.22 l/min
2025-01-02 14:24:53,1.21 l/min
2025-01-02 14:24:54,1.21 l/min
2025-01-02 14:24:54,1.22 l/min
2025-01-02 14:24:55,1.22 l/min
2025-01-02 14:24:55,1.22 l/min
2025-01-02 14:24:56,1.22 l/min
2025-01-02 14:24:56,1.22 l/min
2025-01-02 14:24:57,1.23 l/min
2025-01-02 14:24:57,1.23 l/min
2025-01-02 14:24:57,1.22 l/min
2025-01-02 14:24:58,1.22 l/min
2025-01-02 14:24:58,1.22 l/min
2025-01-02 14:24:59,1.22 l/min
2025-01-02 14:24:59,1.21 l/min
2025-01-02 14:25:00,1.21 l/min
2025-01-02 14:25:00,1.22 l/min
2025-01-02 14:25:01,1.22 l/min
2025-01-02 14:25:01,1.22 l/min
2025-01-02 14:25:02,1.21 l/min
2025-01-02 14:25:02,1.22 l/min
2025-01-02 14:25:03,1.22 l/min
2025-01-02 14:25:03,1.22 l/min
2025-01-02 14:25:04,1.22 l/min
2025-01-02 14:25:04,1.22 l/min
2025-01-02 14:25:04,1.22 l/min
2025-01-02 14:25:05,1.22 l/min
2025-01-02 14:25:05,1.22 l/min
2025-01-02 14:25:06,1.22 l/min
2025-01-02 14:25:07,1.21 l/min
2025-01-02 14:25:07,1.22 l/min
2025-01-02 14:25:08,1.22 l/min
2025-01-02 14:25:08,1.22 l/min
2025-01-02 14:25:09,1.22 l/min
2025-01-02 14:25:09,1.22 l/min
2025-01-02 14:25:10,1.22 l/min
2025-01-02 14:25:10,1.22 l/min
2025-01-02 14:25:11,1.22 l/min
2025-01-02 14:25:11,1.22 l/min
2025-01-02 14:25:12,1.22 l/min
2025-01-02 14:25:12,1.22 l/min
2025-01-02 14:25:12,1.22 l/min
2025-01-02 14:25:13,1.22 l/min
2025-01-02 14:25:13,1.22 l/min
2025-01-02 14:25:14,1.22 l/min
2025-01-02 14:25:14,1.21 l/min
2025-01-02 14:25:15,1.21 l/min
2025-01-02 14:25:15,1.22 l/min
2025-01-02 14:25:16,1.21 l/min
2025-01-02 14:25:16,1.23 l/min
2025-01-02 14:25:17,1.22 l/min
2025-01-02 14:25:17,1.22 l/min
2025-01-02 14:25:18,1.22 l/min
2025-01-02 14:25:18,1.22 l/min
2025-01-02 14:25:19,1.22 l/min
2025-01-02 14:25:19,1.22 l/min
2025-01-02 14:25:20,1.21 l/min
2025-01-02 14:25:20,1.21 l/min
2025-01-02 14:25:21,1.21 l/min
2025-01-02 14:25:21,1.21 l/min
2025-01-02 14:25:22,1.21 l/min
2025-01-02 14:25:22,1.21 l/min
2025-01-02 14:25:23,1.21 l/min
2025-01-02 14:25:23,1.21 l/min
2025-01-02 14:25:24,1.21 l/min
2025-01-02 14:25:24,1.21 l/min
2025-01-02 14:25:25,1.21 l/min
2025-01-02 14:25:25,1.21 l/min
2025-01-02 14:25:26,1.21 l/min
2025-01-02 14:25:26,1.21 l/min
2025-01-02 14:25:27,1.22 l/min
2025-01-02 14:25:27,1.22 l/min
2025-01-02 14:25:28,1.22 l/min
2025-01-02 14:25:28,1.21 l/min
2025-01-02 14:25:28,1.22 l/min
2025-01-02 14:25:29,1.22 l/min
2025-01-02 14:25:29,1.22 l/min
2025-01-02 14:25:30,1.22 l/min
2025-01-02 14:25:30,1.22 l/min
2025-01-02 14:25:31,1.22 l/min
2025-01-02 14:25:31,1.22 l/min
2025-01-02 14:25:32,1.22 l/min
2025-01-02 14:25:32,1.22 l/min
2025-01-02 14:25:33,1.22 l/min
2025-01-02 14:25:33,1.22 l/min
2025-01-02 14:25:34,1.21 l/min
2025-01-02 14:25:34,1.22 l/min
2025-01-02 14:25:35,1.22 l/min
2025-01-02 14:25:35,1.22 l/min
2025-01-02 14:25:36,1.22 l/min
2025-01-02 14:25:36,1.22 l/min
2025-01-02 14:25:37,1.23 l/min
2025-01-02 14:25:37,1.22 l/min
2025-01-02 14:25:38,1.22 l/min
2025-01-02 14:25:38,1.22 l/min
2025-01-02 14:25:39,1.22 l/min
2025-01-02 14:25:39,1.22 l/min
2025-01-02 14:25:39,1.22 l/min
2025-01-02 14:25:40,1.22 l/min
2025-01-02 14:25:40,1.22 l/min
2025-01-02 14:25:41,1.22 l/min
2025-01-02 14:25:41,1.22 l/min
2025-01-02 14:25:42,1.22 l/min
2025-01-02 14:25:42,1.22 l/min
2025-01-02 14:25:43,1.22 l/min
2025-01-02 14:25:43,1.22 l/min
2025-01-02 14:25:44,1.22 l/min
2025-01-02 14:25:44,1.22 l/min
2025-01-02 14:25:45,1.22 l/min
2025-01-02 14:25:45,1.21 l/min
2025-01-02 14:25:46,1.21 l/min
2025-01-02 14:25:46,1.22 l/min
2025-01-02 14:25:47,1.22 l/min
2025-01-02 14:25:47,1.22 l/min
2025-01-02 14:25:48,1.22 l/min
2025-01-02 14:25:48,1.22 l/min
2025-01-02 14:25:49,1.22 l/min
2025-01-02 14:25:49,1.22 l/min
2025-01-02 14:25:50,1.22 l/min
2025-01-02 14:25:50,1.22 l/min
2025-01-02 14:25:50,1.22 l/min
2025-01-02 14:25:51,1.22 l/min
2025-01-02 14:25:51,1.22 l/min
2025-01-02 14:25:52,1.22 l/min
2025-01-02 14:25:52,1.22 l/min
2025-01-02 14:25:53,1.22 l/min
2025-01-02 14:25:53,1.22 l/min
2025-01-02 14:25:54,1.22 l/min
2025-01-02 14:25:54,1.22 l/min
2025-01-02 14:25:55,1.21 l/min
2025-01-02 14:25:55,1.22 l/min
2025-01-02 14:25:56,1.22 l/min
2025-01-02 14:25:56,1.22 l/min
2025-01-02 14:25:57,1.22 l/min
2025-01-02 14:25:57,1.22 l/min
2025-01-02 14:25:58,1.22 l/min
2025-01-02 14:25:58,1.22 l/min
2025-01-02 14:25:58,1.22 l/min
2025-01-02 14:25:59,1.22 l/min
2025-01-02 14:25:59,1.21 l/min
2025-01-02 14:26:00,1.22 l/min
2025-01-02 14:26:00,1.22 l/min
2025-01-02 14:26:01,1.22 l/min
2025-01-02 14:26:01,1.22 l/min
2025-01-02 14:26:02,1.22 l/min
2025-01-02 14:26:02,1.22 l/min
2025-01-02 14:26:03,1.22 l/min
2025-01-02 14:26:03,1.21 l/min
2025-01-02 14:26:04,1.22 l/min
2025-01-02 14:26:04,1.22 l/min
2025-01-02 14:26:04,1.22 l/min
2025-01-02 14:26:05,1.23 l/min
2025-01-02 14:26:05,1.23 l/min
2025-01-02 14:26:06,1.23 l/min
2025-01-02 14:26:06,1.22 l/min
2025-01-02 14:26:07,1.22 l/min
2025-01-02 14:26:07,1.22 l/min
2025-01-02 14:26:08,1.22 l/min
2025-01-02 14:26:08,1.22 l/min
2025-01-02 14:26:09,1.22 l/min
2025-01-02 14:26:09,1.22 l/min
2025-01-02 14:26:10,1.22 l/min
2025-01-02 14:26:10,1.22 l/min
2025-01-02 14:26:11,1.22 l/min
2025-01-02 14:26:11,1.22 l/min
2025-01-02 14:26:12,1.22 l/min
2025-01-02 14:26:12,1.22 l/min
2025-01-02 14:26:13,1.22 l/min
2025-01-02 14:26:13,1.22 l/min
2025-01-02 14:26:14,1.22 l/min
2025-01-02 14:26:14,1.22 l/min
2025-01-02 14:26:14,1.22 l/min
2025-01-02 14:26:15,1.22 l/min
2025-01-02 14:26:15,1.22 l/min
2025-01-02 14:26:16,1.22 l/min
2025-01-02 14:26:16,1.22 l/min
2025-01-02 14:26:17,1.22 l/min
2025-01-02 14:26:17,1.22 l/min
2025-01-02 14:26:18,1.23 l/min
2025-01-02 14:26:18,1.24 l/min
2025-01-02 14:26:19,1.22 l/min
2025-01-02 14:26:19,1.22 l/min
2025-01-02 14:26:20,1.22 l/min
2025-01-02 14:26:20,1.22 l/min
2025-01-02 14:26:21,1.21 l/min
2025-01-02 14:26:21,1.23 l/min
2025-01-02 14:26:22,1.23 l/min
2025-01-02 14:26:22,1.21 l/min
2025-01-02 14:26:23,1.21 l/min
2025-01-02 14:26:23,1.22 l/min
2025-01-02 14:26:23,1.21 l/min
2025-01-02 14:26:24,1.22 l/min
2025-01-02 14:26:24,1.22 l/min
2025-01-02 14:26:25,1.22 l/min
