Czas Odczytu,Wartość
2025-01-02 14:24:47,21.0 °C
2025-01-02 14:24:48,21.0 °C
2025-01-02 14:24:48,21.0 °C
2025-01-02 14:24:49,21.0 °C
2025-01-02 14:24:49,21.0 °C
2025-01-02 14:24:49,21.0 °C
2025-01-02 14:24:50,21.0 °C
2025-01-02 14:24:50,21.0 °C
2025-01-02 14:24:51,21.0 °C
2025-01-02 14:24:51,21.0 °C
2025-01-02 14:24:52,21.0 °C
2025-01-02 14:24:52,21.0 °C
2025-01-02 14:24:53,21.0 °C
2025-01-02 14:24:53,21.0 °C
2025-01-02 14:24:54,21.0 °C
2025-01-02 14:24:54,21.0 °C
2025-01-02 14:24:55,21.0 °C
2025-01-02 14:24:55,21.0 °C
2025-01-02 14:24:56,21.0 °C
2025-01-02 14:24:56,21.0 °C
2025-01-02 14:24:57,21.0 °C
2025-01-02 14:24:57,21.0 °C
2025-01-02 14:24:57,21.0 °C
2025-01-02 14:24:58,21.0 °C
2025-01-02 14:24:58,21.0 °C
2025-01-02 14:24:59,21.0 °C
2025-01-02 14:24:59,21.0 °C
2025-01-02 14:25:00,21.0 °C
2025-01-02 14:25:00,21.0 °C
2025-01-02 14:25:01,21.0 °C
2025-01-02 14:25:01,21.0 °C
2025-01-02 14:25:02,21.0 °C
2025-01-02 14:25:02,21.0 °C
2025-01-02 14:25:03,21.0 °C
2025-01-02 14:25:03,21.0 °C
2025-01-02 14:25:04,21.0 °C
2025-01-02 14:25:04,21.0 °C
2025-01-02 14:25:04,21.0 °C
2025-01-02 14:25:05,21.0 °C
2025-01-02 14:25:05,21.0 °C
2025-01-02 14:25:06,21.0 °C
2025-01-02 14:25:07,21.0 °C
2025-01-02 14:25:07,21.0 °C
2025-01-02 14:25:08,21.0 °C
2025-01-02 14:25:08,21.0 °C
2025-01-02 14:25:09,21.0 °C
2025-01-02 14:25:09,21.0 °C
2025-01-02 14:25:10,21.0 °C
2025-01-02 14:25:10,21.0 °C
2025-01-02 14:25:11,21.0 °C
2025-01-02 14:25:11,21.0 °C
2025-01-02 14:25:12,21.0 °C
2025-01-02 14:25:12,21.0 °C
2025-01-02 14:25:13,21.0 °C
2025-01-02 14:25:13,21.0 °C
2025-01-02 14:25:13,21.0 °C
2025-01-02 14:25:14,21.0 °C
2025-01-02 14:25:14,21.0 °C
2025-01-02 14:25:15,21.0 °C
2025-01-02 14:25:15,21.0 °C
2025-01-02 14:25:16,21.0 °C
2025-01-02 14:25:16,21.0 °C
2025-01-02 14:25:17,21.0 °C
2025-01-02 14:25:17,21.0 °C
2025-01-02 14:25:18,21.0 °C
2025-01-02 14:25:18,21.0 °C
2025-01-02 14:25:19,21.0 °C
2025-01-02 14:25:19,21.0 °C
2025-01-02 14:25:20,21.0 °C
2025-01-02 14:25:20,21.0 °C
2025-01-02 14:25:21,21.0 °C
2025-01-02 14:25:21,21.0 °C
2025-01-02 14:25:22,21.0 °C
2025-01-02 14:25:22,21.0 °C
2025-01-02 14:25:23,21.0 °C
2025-01-02 14:25:23,21.0 °C
2025-01-02 14:25:24,21.0 °C
2025-01-02 14:25:24,21.0 °C
2025-01-02 14:25:25,21.0 °C
2025-01-02 14:25:25,21.0 °C
2025-01-02 14:25:26,21.0 °C
2025-01-02 14:25:26,21.0 °C
2025-01-02 14:25:27,21.0 °C
2025-01-02 14:25:27,21.0 °C
2025-01-02 14:25:28,21.0 °C
2025-01-02 14:25:28,21.0 °C
2025-01-02 14:25:29,21.0 °C
2025-01-02 14:25:29,21.0 °C
2025-01-02 14:25:29,21.0 °C
2025-01-02 14:25:30,21.0 °C
2025-01-02 14:25:30,21.0 °C
2025-01-02 14:25:31,21.0 °C
2025-01-02 14:25:31,21.0 °C
2025-01-02 14:25:32,21.0 °C
2025-01-02 14:25:32,21.0 °C
2025-01-02 14:25:33,21.0 °C
2025-01-02 14:25:33,21.0 °C
2025-01-02 14:25:34,21.0 °C
2025-01-02 14:25:34,21.0 °C
2025-01-02 14:25:35,21.0 °C
2025-01-02 14:25:35,21.0 °C
2025-01-02 14:25:36,21.0 °C
2025-01-02 14:25:36,21.0 °C
2025-01-02 14:25:37,21.0 °C
2025-01-02 14:25:37,21.0 °C
2025-01-02 14:25:38,21.0 °C
2025-01-02 14:25:38,21.0 °C
2025-01-02 14:25:39,21.0 °C
2025-01-02 14:25:39,21.0 °C
2025-01-02 14:25:40,21.0 °C
2025-01-02 14:25:40,21.0 °C
2025-01-02 14:25:40,21.0 °C
2025-01-02 14:25:41,21.0 °C
2025-01-02 14:25:41,21.0 °C
2025-01-02 14:25:42,21.0 °C
2025-01-02 14:25:42,21.0 °C
2025-01-02 14:25:43,21.0 °C
2025-01-02 14:25:43,21.0 °C
2025-01-02 14:25:44,21.0 °C
2025-01-02 14:25:44,21.0 °C
2025-01-02 14:25:45,21.0 °C
2025-01-02 14:25:45,21.0 °C
2025-01-02 14:25:46,21.0 °C
2025-01-02 14:25:46,21.0 °C
2025-01-02 14:25:47,21.0 °C
2025-01-02 14:25:47,21.0 °C
2025-01-02 14:25:48,21.0 °C
2025-01-02 14:25:48,21.0 °C
2025-01-02 14:25:49,21.0 °C
2025-01-02 14:25:49,21.0 °C
2025-01-02 14:25:50,21.0 °C
2025-01-02 14:25:50,21.0 °C
2025-01-02 14:25:50,21.0 °C
2025-01-02 14:25:51,21.0 °C
2025-01-02 14:25:51,21.0 °C
2025-01-02 14:25:52,21.0 °C
2025-01-02 14:25:52,21.0 °C
2025-01-02 14:25:53,21.0 °C
2025-01-02 14:25:53,21.0 °C
2025-01-02 14:25:54,21.0 °C
2025-01-02 14:25:54,21.0 °C
2025-01-02 14:25:55,21.0 °C
2025-01-02 14:25:55,21.0 °C
2025-01-02 14:25:56,21.0 °C
2025-01-02 14:25:56,21.0 °C
2025-01-02 14:25:57,21.0 °C
2025-01-02 14:25:57,21.0 °C
2025-01-02 14:25:58,21.0 °C
2025-01-02 14:25:58,21.0 °C
2025-01-02 14:25:58,21.0 °C
2025-01-02 14:25:59,21.0 °C
2025-01-02 14:25:59,21.0 °C
2025-01-02 14:26:00,21.0 °C
2025-01-02 14:26:00,21.0 °C
2025-01-02 14:26:01,21.0 °C
2025-01-02 14:26:01,21.0 °C
2025-01-02 14:26:02,21.0 °C
2025-01-02 14:26:02,21.0 °C
2025-01-02 14:26:03,21.0 °C
2025-01-02 14:26:03,21.0 °C
2025-01-02 14:26:04,21.0 °C
2025-01-02 14:26:04,21.0 °C
2025-01-02 14:26:05,21.0 °C
2025-01-02 14:26:05,21.0 °C
2025-01-02 14:26:05,21.0 °C
2025-01-02 14:26:06,21.0 °C
